Fuel_Type,Body_Type,transmission,ownerNo,Brand,model,modelYear,price,Insurance_Validity,Kms_Driven,Mileage,Engine,Seats,Color,City
Diesel,SUV,Manual,2,Nissan,Nissan Terrano,2014,650000.0,Third Party insurance,60000.0,19.01,1461,5,Others,Bangalore
Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,2014,444000.0,Third Party insurance,83829.0,25.2,1248,5,Red,Bangalore
Petrol,Hatchback,Automatic,1,Renault,Renault KWID,2020,510000.0,Third Party insurance,10000.0,22.0,999,5,Others,Bangalore
Diesel,SUV,Automatic,2,Renault,Renault Duster,2016,925000.0,Comprehensive,35000.0,19.6,1461,5,Grey,Bangalore
Petrol,Sedan,Automatic,2,Honda,Honda City,2019,1024000.0,Comprehensive,51116.0,18.0,1497,5,White,Bangalore
Diesel,Sedan,Manual,3,Skoda,Skoda Rapid,2016,500000.0,Third Party insurance,80000.0,21.14,1498,5,Others,Bangalore
Petrol,Hatchback,Automatic,2,Volkswagen,Volkswagen Polo,2017,995000.0,Third Party insurance,40000.0,17.21,1197,5,Others,Bangalore
Petrol,SUV,Automatic,2,Honda,Honda CR-V,2012,935000.0,Comprehensive,85565.0,11.1,2354,5,White,Bangalore
Petrol,SUV,Manual,1,Ford,Ford Ecosport,2018,834000.0,Comprehensive,36916.0,17.0,1497,5,Others,Bangalore
Diesel,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2015,560000.0,Third Party insurance,90000.0,20.14,1498,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2012,454000.0,Comprehensive,112795.0,22.38,1197,5,Silver,Bangalore
Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2021,3690000.0,Comprehensive,11000.0,19.260860166288737,1332,5,Silver,Bangalore
Petrol,MUV,Manual,2,Toyota,Toyota Innova,2014,1100000.0,Third Party insurance,120000.0,11.4,1998,7,Others,Bangalore
Petrol,Hatchback,Manual,2,Honda,Honda Brio,2016,462000.0,Comprehensive,36685.0,19.4,1198,5,Red,Bangalore
Diesel,SUV,Automatic,2,Hyundai,Hyundai Santa Fe,2012,900000.0,Third Party insurance,120000.0,11.72,2199,7,Others,Bangalore
Petrol,Sedan,Automatic,1,BMW,BMW 6 Series,2022,7900000.0,Comprehensive,4000.0,13.32,1998,4,Blue,Bangalore
Petrol,Hatchback,Automatic,2,Maruti,Maruti Baleno,2019,843000.0,Third Party,32184.0,21.4,1197,5,Silver,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno RS,2018,799000.0,Comprehensive,32279.0,21.1,998,5,White,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2015,576000.0,Comprehensive,59698.0,18.6,1197,5,White,Bangalore
Diesel,SUV,Manual,1,Renault,Renault Captur,2018,949000.0,Comprehensive,46071.0,20.37,1461,5,Grey,Bangalore
Diesel,SUV,Manual,1,Maruti,Maruti Vitara Brezza,2017,795000.0,Third Party insurance,90000.0,24.3,1248,5,Yellow,Bangalore
Petrol,SUV,Manual,1,Hyundai,Hyundai Venue,2019,1085000.0,Third Party,9554.0,18.27,998,5,Blue,Bangalore
Petrol,SUV,Automatic,1,Jeep,Jeep Compass,2022,2590000.0,Comprehensive,14000.0,14.1,1368,5,Green,Bangalore
Diesel,SUV,Manual,2,Renault,Renault Duster,2013,516000.0,Third Party,74499.0,20.45,1461,5,Brown,Bangalore
Petrol,SUV,Automatic,2,Ford,Ford Ecosport,2017,777000.0,Comprehensive,56211.0,14.8,1497,5,Grey,Bangalore
Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2019,753000.0,Comprehensive,9001.0,18.2,1199,5,White,Bangalore
Diesel,SUV,Automatic,2,Mahindra,Mahindra XUV500,2017,1226000.0,Third Party insurance,65457.0,16.0,1997,7,Orange,Bangalore
Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2017,725000.0,Comprehensive,23682.0,18.7,1199,5,Red,Bangalore
Diesel,Sedan,Manual,1,Hyundai,Hyundai Verna,2020,1150000.0,Third Party insurance,50000.0,22.0,1582,5,Red,Bangalore
Diesel,Hatchback,Manual,2,Maruti,Maruti Swift,2015,629000.0,Comprehensive,134557.0,25.2,1248,5,White,Bangalore
Petrol,Sedan,Manual,2,Maruti,Maruti Swift Dzire,2013,447000.0,Comprehensive,96567.0,22.41,1197,5,Blue,Bangalore
Diesel,MUV,Manual,2,Maruti,Maruti Ertiga,2014,786000.0,Comprehensive,83007.0,20.77,1248,7,White,Bangalore
Petrol,Hatchback,Manual,1,Honda,Honda Jazz,2018,745000.0,Comprehensive,34000.0,18.7,1199,5,Maroon,Bangalore
Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2014,490000.0,Comprehensive,81634.0,18.9,1197,5,White,Bangalore
Petrol,Sedan,Automatic,2,Honda,Honda City,2017,942000.0,Comprehensive,57284.0,18.0,1497,5,Brown,Bangalore
Petrol,SUV,Automatic,2,Ford,Ford Ecosport,2016,675000.0,Third Party insurance,70000.0,15.63,1499,5,Silver,Bangalore
Petrol,Hatchback,Manual,2,Honda,Honda Brio,2013,330000.0,Third Party insurance,70000.0,19.4,1198,5,Red,Bangalore
